年份,出生人口(万),总人口(万人),中国人均GPA(美元计),中国性别比例(按照女生=100),自然增长率(%),城镇人口(城镇+乡村=100),乡村人口,美元兑换人民币汇率,中国就业人口(万人)
1970,2710,82542,113,105.9,25.95,17.38,82.62,2.4618,34432
1971,2551,84779,118,105.82,23.4,17.26,82.74,2.2673,35520
1972,2550,86727,131,105.78,22.27,17.13,82.87,2.2401,35854
1973,2447,88761,157,105.86,20.99,17.2,82.8,2.0202,36652
1974,2226,90409,160,105.88,17.57,17.16,82.84,1.8397,37369
1975,2102,91970,178,106.04,15.77,17.34,82.66,1.9663,38168
1976,1849,93267,165,106.15,12.72,17.44,82.55,1.8803,38834
1977,1783,94774,185,106.17,12.12,17.55,82.45,1.73,39377
1978,1733,96159,156,106.16,12,17.92,82.08,1.5771,40152
1979,1715,97542,183,106,11.61,18.96,81.04,1.4962,41024
1980,1776,98705,194,105.98,11.87,19.39,80.61,1.5303,42361
1981,2064,100072,197,106.11,14.55,20.16,79.84,1.7051,43725
1982,2230,101654,203,106.19,15.68,21.13,78.87,1.8926,45295
1983,2052,103008,225,106.61,13.29,21.52,78.38,1.9757,46436
1984,2050,104357,250,106.61,13.08,23.01,76.99,2.327,48197
1985,2196,105851,294,107.04,14.26,23.71,76.29,2.9367,49873
1986,2374,107507,281,107.04,15.57,24.52,75.48,3.4528,51282
1987,2508,109300,251,106.19,16.61,25.32,74.68,3.7221,52783
1988,2445,111026,283,106.27,15.73,25.81,74.19,3.7221,54334
1989,2396,112704,310,106.4,15.04,25.21,73.79,3.7659,55329
1990,2374,114333,317,106.27,14.39,25.41,73.59,4.7838,64749
1991,2250,115823,333,105.52,12.98,26.94,73.06,5.3227,65491
1992,2113,117171,366,104.27,11.5,27.46,72.54,5.5149,66152
1993,2120,118517,377,104.18,11.45,27.99,72.01,5.7619,66808
1994,2098,119850,473,104.51,11.21,28.51,71.49,8.6187,67455
1995,2052,121121,609,104.21,10.55,29.04,70.95,8.3507,68065
1996,2057,122389,709,103.34,10.42,30.48,69.52,8.3142,68950
1997,2028,123626,781,104.36,10.06,31.91,68.09,8.2898,69820
1998,1934,124761,828,105.13,9.14,33.35,66.55,8.2791,70537
1999,1827,125786,873,105.89,8.18,34.78,65.22,8.2796,71394
2000,1765,126743,959,106.74,7.58,36.22,63.78,8.2784,72085
2001,1696,127627,1053,106,6.95,37.66,62.34,8.277,72797
2002,1641,128453,1148,106.06,6.45,39.09,60.91,8.277,73280
2003,1594,129227,1288,106.2,6.01,40.53,59.47,8.2774,73736
2004,1588,129988,1508,106.29,5.87,41.76,58.24,8.278,74264
2005,1612,130756,1753,106.3,5.89,42.99,57.01,8.1013,74547
2006,1581,131448,2099,106.29,5.28,44.34,55.56,7.8087,74978
2007,1591,132129,2693,106.19,5.17,45.89,54.11,7.3872,75321
2008,1604,132802,3468,106.07,5.08,46.99,53.01,6.85,75564
2009,1587,133450,3832,105.93,4.87,48.34,51.66,6.81,75828
2010,1588,134091,4550,105.21,4.79,49.95,50.05,6.622,76105
2011,1600,134735,5618,105.18,4.79,51.27,48.73,6.61,76420
2012,1635,135404,6316,105.13,4.95,52.57,47.43,6.25,76704
2013,1640,136072,7050,105.1,4.92,53.73,46.27,6.07,76977
2014,1687,136782,7678,105.06,5.21,54.77,45.23,6.05,77253
2015,1655,137462,8066,105.02,4.96,56.1,43.9,6.2,77451
2016,1786,138271,8147,104.98,5.86,57.35,42.65,6.56,77603
2017,1723,139008,8879,104.81,5.32,58.52,41.48,6.5,77640
2018,1523,139538,9976,104.64,3.81,59.58,40.42,6.86,77586
2019,1465,140005,10261,104.6,3.34,60.6,39.4,6.8967,77471
